"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Runtime","start","goal","Problem","Solution"
"graph","a-star","Success","358.5000000000001","338","8300","8781","4.3492","(203, 258)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","354.9100000000002","334","8009","8499","0.7442","(190, 268)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","4.41","4","14","21","0.0008","(96, 10)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","368.3700000000001","345","8356","8818","0.7831","(196, 279)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","12.639999999999999","11","119","162","0.0093","(108, 10)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","359.78000000000014","336","8229","8733","0.7536","(197, 270)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","349.8100000000002","333","7701","8171","0.6601","(178, 267)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","12.049999999999999","10","115","159","0.0091","(107, 11)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","358.19000000000017","334","8163","8668","0.7895","(198, 268)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","15.41","15","131","163","0.0113","(112, 5)","(97, 6)","./example/gridmap/arena2.map","Hidden"
