"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Runtime","start","goal","Problem","Solution"
"graph","a-star","Success","358.5000000000001","338","1374","2057","0.7796","(203, 258)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","354.9100000000002","334","1378","2053","0.1094","(190, 268)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","4.41","4","5","16","0.0003","(96, 10)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","368.3700000000001","345","1367","2076","0.106","(196, 279)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","12.64","11","12","46","0.001","(108, 10)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","359.78000000000014","336","1362","2055","0.119","(197, 270)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","349.8100000000002","333","1355","2002","0.0938","(178, 267)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","12.05","10","14","46","0.001","(107, 11)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","358.19000000000017","334","1357","2048","0.1004","(198, 268)","(97, 6)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Success","15.41","15","16","49","0.0009","(112, 5)","(97, 6)","./example/gridmap/arena2.map","Hidden"
